Year,State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,total number 
2005,Utah,2490334,5612,56,920,0,1095,3541,95546,14971,72082,8493,101158
2005,Vermont,622387,782,8,153,0,76,545,14749,3185,10894,670,15531
2005,Virginia,7564327,21434,458,1763,0,7495,11718,200404,29829,154584,15991,221838
2005,Washington,6291899,21745,205,2811,0,5788,12941,307661,60343,198031,49287,329406
2005,West Virginia,1814083,4968,82,335,0,816,3735,47757,11334,32603,3820,52725
2005,Wisconsin,5527644,13367,206,1135,0,4555,7471,147556,24448,110531,12577,160923
2005,Wyoming,508798,1172,14,122,0,78,958,16070,2426,12905,739,17242
2006,Alabama,4599030,19553,382,1646,0,7062,10463,181249,44780,121451,15018,401604
2006, Alaska,670053,4610,36,512,0,600,3462,23975,4155,17284,2536,28585
2006,Arizona,6166318,33456,533,2449,0,9491,20983,294389,59418,178321,56650,327845
2006,Arkansas,2810872,15538,205,1325,0,2749,11259,112025,31864,72646,7515,127563
2006,California,36457549,194483,2486,9235,0,71142,111620,1159988,247230,669103,243655,1354471
2006, Colorado,4753377,18794,171,2158,0,3824,12641,163439,32411,110372,20656,182233
2006,Connecticut,3504809,10505,137,696,0,4460,5212,90638,15583,64765,10290,101143
2006,Delaware,853476,5983,42,417,0,1791,3733,29670,6337,20449,2884,35653
2006,Florida,18089888,129602,1129,6475,0,34147,87851,721101,170873,473774,76454,850703
2006,Georgia,9363941,44754,605,2169,0,15511,26469,362712,85140,234445,43127,407466
2006,Hawaii,1285498,3608,21,353,0,1144,2090,54247,8724,37784,7739,57855
2006,Idaho,1466465,3666,35,611,0,294,2726,35135,7545,25154,2436,38801
2006,Illinois,12831970,69498,780,4078,0,23782,40858,387478,77259,272578,37641,456976
2006,Indiana,6313520,20303,361,1811,0,7175,10956,217783,45538,150655,21590,238086
2006,Iowa,2982085,8521,55,871,0,1309,6286,84202,18160,60998,5044,92723
2006,Kansas,2764075,11960,125,1279,0,1878,8678,104260,20086,75450,8724,116220
2006,Kentucky,4206074,11361,173,1312,0,3850,6026,109428,27867,72197,9364,120789
2006,Louisiana,4287768,30923,555,1587,0,5928,22853,174975,46703,112605,15667,205898
2006,Maine,1321574,1533,23,341,0,383,786,33658,6846,25465,1347,35191
2006,Maryland,5615727,38111,546,1178,0,14376,22011,195484,37459,127502,30523,233595
2006,Massachusetts,6437193,32217,188,1771,0,8080,22178,153943,35243,100725,17975,186160
2006,Michigan,10095643,56981,721,5347,0,14229,36684,325594,76313,199183,50098,382575
2006,Minnesota,5167101,16042,126,1645,0,5441,8830,159276,30306,115693,13277,175318
2006,Mississippi,2910540,9076,231,1039,0,3259,4547,92853,27117,57406,8330,101929
2006,Missouri,5842713,31897,369,1764,0,7597,22167,224007,44734,153874,25399,255904
2006,Montana,944632,3564,33,348,0,233,2950,26986,3380,21659,1947,30550
2006,Nebraska,1768331,5197,51,577,0,1136,3433,59411,9535,44710,5166,64608
2006,Nevada,2495529,18687,226,1092,0,7038,10331,102338,24902,50429,27007,121025
2006,New Hampshire,1314895,1785,13,295,0,435,1042,26060,4395,20179,1486,27845
2006,New Jersey,8724560,30550,427,1201,0,13360,15562,198820,39384,134687,24749,229370
2006,New Mexico,1954599,12797,134,1073,0,2095,9495,76000,20906,45864,9230,88797
2006,New York,19306183,84016,922,3168,0,34459,45467,398577,68617,297827,32133,482593
2006,North Carolina,8856505,42088,539,2495,0,13468,25586,364549,107333,227114,30102,406637
2006,North Dakota,635867,1255,14,241,0,75,925,13359,2601,9672,1086,14614
2006,Ohio,11478006,41491,560,4770,0,19418,16743,423334,105639,279718,37977,464825
2006,Oklahoma,3579212,17905,210,1488,0,3145,13062,129728,34437,81853,13438,147633
2006,Oregon,3700758,10534,88,1219,0,2711,6516,137858,24324,98897,14637,148392
2006,Pennsylvania,12440621,55028,741,3611,0,21095,29581,304589,57739,217142,29708,359617
2006,Rhode Island,1067610,2460,27,289,0,740,1404,27914,5453,18852,3609,30374
2006,South Carolina,4321249,33322,362,1834,0,5902,25224,184712,42952,125075,16685,218034
2006,South Dakota,781919,2071,30,465,0,158,1418,13812,3024,9954,834,15883
2006,Tennessee,6038803,46043,419,2194,0,11143,32287,249860,63024,164183,22653,295903
2006,Texas,23507783,121602,1386,8429,0,37256,74531,959846,215710,648711,95425,1081448
2006,Utah,2550063,5771,51,891,0,1242,3587,89572,14721,66480,8371,95343
2006,Vermont,623908,905,14,173,0,114,604,14920,3443,10857,620,15825
2006,Virginia,7642884,21683,403,1829,0,7779,11672,190257,32166,143292,14799,211940
2006,Washington,6395798,22303,197,2748,0,6424,12934,288456,58843,183179,46434,310759
2006,West Virginia,1818470,5113,80,404,0,853,3776,47941,11579,32305,4057,53054
2006,Wisconsin,5556506,15899,165,1233,0,5564,8937,156748,27038,115682,14028,172647
2006,Wyoming,515004,1307,13,151,0,72,1071,15381,2322,12255,804,16688
2007,Alabama,4627851,20775,412,1548,0,7398,11417,184082,45379,124465,14238,409714
2007, Alaska,683478,4520,43,545,0,581,3351,23096,3734,16929,2433,27616
2007,Arizona,6338755,32835,548,2353,0,9764,20170,287308,59988,177076,50244,320143
2007,Arkansas,2834797,15226,198,1294,0,3105,10629,112130,32035,73096,6999,127356
2007,California,36553215,191561,2262,9046,0,70706,109547,1112510,237850,654526,220134,1304071
2007, Colorado,4861515,17101,155,2075,0,3461,11410,145808,28633,100519,16656,162909
2007,Connecticut,3502309,10547,113,690,0,4303,5441,86528,15640,60937,9951,97075
2007,Delaware,864764,6100,39,341,0,1763,3957,29216,6420,20454,2342,35316
2007,Florida,18251243,131878,1202,6149,0,38155,86372,746249,181836,490783,73630,878127
2007,Georgia,9544750,46917,720,2198,0,17291,26708,371248,90294,238436,42518,418165
2007,Hawaii,1283388,3544,24,377,0,1122,2021,52866,9089,37494,6283,56410
2007,Idaho,1499402,3841,49,607,0,243,2942,34124,7131,24727,2266,37965
2007,Illinois,12852548,68528,752,4103,0,23100,40573,377322,75524,267911,33887,445850
2007,Indiana,6345289,21310,350,1738,0,7845,11377,213887,46485,147999,19403,235197
2007,Iowa,2988046,8970,39,970,0,1328,6633,79133,17176,57018,4939,88103
2007,Kansas,2775997,12730,106,1287,0,2022,9315,102961,20461,73900,8600,115691
2007,Kentucky,4241474,12329,206,1365,0,4068,6690,107987,27820,71489,8678,120316
2007,Louisiana,4293204,31789,625,1427,0,6316,23421,180516,46932,118291,15293,212305
2007,Maine,1317207,1565,20,392,0,349,804,32249,6745,24228,1276,33814
2007,Maryland,5618344,36063,554,1179,0,13258,21072,192796,37095,127308,28393,228859
2007,Massachusetts,6449755,28487,187,1643,0,7021,19636,154743,35767,103925,15051,183230
