,campus,lon,lat,total,pop,rate,state
689,George Fox University,-122.970532,45.302754,93,46143,2.02,oregon
690,George Mason University,-77.3120885,38.8315541,496,427875,1.16,virginia
691,George Washington University,-77.0485992,38.8997145,19,343522,0.06,district of columbia
692,Georgetown College,-84.5543228,38.2070067,127,24195,5.25,kentucky
2793,Georgia Christian University,-84.2678376,33.9288674,4,738,5.42,georgia
693,Georgia College and State University,-83.230898,33.081995,229,86048,2.66,georgia
2607,Georgia Gwinnett College,-84.0054164,33.97908,39,46013,0.85,georgia
694,Georgia Highlands College,-85.2076043,34.1699343,9,61132,0.15,georgia
695,Georgia Institute of Technology-Main Campus,-84.396285,33.7756178,1336,266855,5.01,georgia
2794,Georgia Regents University,-81.9898848,33.4709094,48,16456,2.92,georgia
696,Georgia Southern University,-81.78419,32.412215,221,229006,0.97,georgia
697,Georgia Southwestern State University,-84.2175462,32.0566815,59,37211,1.59,georgia
698,Georgia State University,-84.3852819,33.753068,347,406763,0.85,georgia
699,Georgian Court University,-74.2274498,40.0997898,46,39395,1.17,new jersey
700,Gettysburg College,-77.2316189,39.8354367,211,32147,6.56,pennsylvania
701,Glenville State College,-80.833222,38.9348779,107,23626,4.53,west virginia
2652,Globe University-La Crosse,-91.1930309,43.8801312,1,1713,0.58,wisconsin
703,Globe University-Woodbury,-92.942019,44.9454345,3,14118,0.21,minnesota
2654,Globe Universityâ€“Madison West,-89.527069,43.0877025,2,1366,1.46,wisconsin
704,Goddard College,-72.4380985,44.2789722,9,8889,1.01,vermont
705,Gods Bible School and College,-84.5058698,39.1158102,1,3698,0.27,ohio
706,Golden Gate University-San Francisco,-122.398982,37.789292,48,52768,0.91,california
707,Goldey-Beacom College,-75.6895335,39.7415725,71,18495,3.84,delaware
708,Gonzaga University,-117.4023849,47.667189,558,94482,5.91,washington
709,Good Samaritan College of Nursing and Health Science,-84.5206726,39.140035,65,3757,17.3,ohio
711,Goodwin College,-72.6404704,41.7428246,17,26525,0.64,connecticut
712,Gordon College,-70.8209286,42.5893751,59,24708,2.39,massachusetts
713,Gordon State College,-84.150109,33.047455,133,54331,2.45,georgia
